query_player,relevant_player,rank,top_1_player,top_5_players,query_text
Harry Amass,Harry Amass,1,Harry Amass,Harry Amass | Ayden Heaven | Harry Clarke | Harry Maguire | Luke Shaw,"Harry Amass is a ENG football player who plays for Manchester Utd as a defender (DF). Age: 17 Born: 2007. Attacking output: goals 0, assists 0, expected_goals 0.1, expected_assists 0.0, non_penalty_expected_goals 0.1, expected_goal_involvements 0.02. Progression: progressive_carries 9, progressive_passes 7, progressive_receptions 23. Usage: matches_played 5, starts 4, minutes_played 346, full_match_equivalents 3.8. Discipline: yellow_cards 0, red_cards 0."
Samuel Amo-Ameyaw,Samuel Amo-Ameyaw,1,Samuel Amo-Ameyaw,Samuel Amo-Ameyaw | Samuel Amo-Ameyaw | Samuel Edozie | Lukas Zuccarello | Archie Gray,"Samuel Amo-Ameyaw is a ENG football player who plays for Southampton as a forward, defender (FW,DF). Age: 18 Born: 2006. Attacking output: goals 0, assists 0, expected_goals 0.0, expected_assists 0.1, non_penalty_expected_goals 0.0, expected_goal_involvements 0.29. Progression: progressive_carries 1, progressive_passes 0, progressive_receptions 3. Usage: matches_played 2, starts 0, minutes_played 28, full_match_equivalents 0.3. Discipline: yellow_cards 1, red_cards 0."
Mathis Amougou,Mathis Amougou,1,Mathis Amougou,Mathis Amougou | Mathis Amougou | Mathis Lambourde | Gabin Capuano | Kévin Pedro,"Mathis Amougou is a FRA football player who plays for Chelsea as a midfielder (MF). Age: 18 Born: 2006. Attacking output: goals 0, assists 0, expected_goals 0.0, expected_assists 0.0, non_penalty_expected_goals 0.0, expected_goal_involvements 0.0. Progression: progressive_carries 0, progressive_passes 1, progressive_receptions 0. Usage: matches_played 1, starts 0, minutes_played 8, full_match_equivalents 0.1. Discipline: yellow_cards 0, red_cards 0."
Joachim Andersen,Joachim Andersen,1,Joachim Andersen,Joachim Andersen | Joachim Andersen | Chadi Riad | Joel Ward | Simone Scuffet,"Joachim Andersen is a DEN football player who plays for Crystal Palace as a defender (DF). Age: 28 Born: 1996. Attacking output: goals 0, assists 0, expected_goals 0.0, expected_assists 0.0, non_penalty_expected_goals 0.0, expected_goal_involvements 0.04. Progression: progressive_carries 1, progressive_passes 4, progressive_receptions 1. Usage: matches_played 1, starts 1, minutes_played 90, full_match_equivalents 1.0. Discipline: yellow_cards 1, red_cards 0."
Joachim Andersen,Joachim Andersen,1,Joachim Andersen,Joachim Andersen | Joachim Andersen | Hans Vanaken | Sepp van den Berg | Franco Pardo,"Joachim Andersen is a DEN football player who plays for Fulham as a defender (DF). Age: 28 Born: 1996. Attacking output: goals 0, assists 0, expected_goals 1.0, expected_assists 0.5, non_penalty_expected_goals 1.0, expected_goal_involvements 0.05. Progression: progressive_carries 16, progressive_passes 112, progressive_receptions 2. Usage: matches_played 29, starts 29, minutes_played 2583, full_match_equivalents 28.7. Discipline: yellow_cards 6, red_cards 1."
Elliot Anderson,Elliot Anderson,1,Elliot Anderson,Elliot Anderson | Jota Silva | Taiwo Awoniyi | Ryan Yates | Nikola Milenković,"Elliot Anderson is a ENG football player who plays for Nott'ham Forest as a midfielder (MF). Age: 21 Born: 2002. Attacking output: goals 2, assists 6, expected_goals 2.1, expected_assists 3.3, non_penalty_expected_goals 2.1, expected_goal_involvements 0.18. Progression: progressive_carries 52, progressive_passes 143, progressive_receptions 95. Usage: matches_played 37, starts 33, minutes_played 2728, full_match_equivalents 30.3. Discipline: yellow_cards 10, red_cards 0."
André,André,1,André,André | García | David Duarte | Sam Morsy | Thomas Van den Keybus,"André is a BRA football player who plays for Wolves as a midfielder (MF). Age: 23 Born: 2001. Attacking output: goals 0, assists 0, expected_goals 0.4, expected_assists 0.8, non_penalty_expected_goals 0.4, expected_goal_involvements 0.05. Progression: progressive_carries 10, progressive_passes 109, progressive_receptions 11. Usage: matches_played 33, starts 31, minutes_played 2472, full_match_equivalents 27.5. Discipline: yellow_cards 7, red_cards 0."
Michail Antonio,Michail Antonio,1,Michail Antonio,Michail Antonio | Niclas Füllkrug | Crysencio Summerville | Gabriel | James Ward-Prowse,"Michail Antonio is a JAM football player who plays for West Ham as a forward (FW). Age: 34 Born: 1990. Attacking output: goals 1, assists 1, expected_goals 2.2, expected_assists 1.6, non_penalty_expected_goals 2.2, expected_goal_involvements 0.41. Progression: progressive_carries 29, progressive_passes 18, progressive_receptions 59. Usage: matches_played 14, starts 11, minutes_played 836, full_match_equivalents 9.3. Discipline: yellow_cards 1, red_cards 0."
Antony,Antony,1,Antony,Antony | Hércules | Manuel Ugarte Ribeiro | Alejandro Garnacho | Hassani Dotson,"Antony is a BRA football player who plays for Manchester Utd as a defender, midfielder (DF,MF). Age: 24 Born: 2000. Attacking output: goals 0, assists 0, expected_goals 1.0, expected_assists 0.1, non_penalty_expected_goals 1.0, expected_goal_involvements 0.73. Progression: progressive_carries 5, progressive_passes 6, progressive_receptions 7. Usage: matches_played 8, starts 0, minutes_played 141, full_match_equivalents 1.6. Discipline: yellow_cards 0, red_cards 0."
Julian Araujo,Julian Araujo,1,Julian Araujo,Julian Araujo | Zé Carlos | Dango Ouattara | Kevin Lopez | Valentín Fascendini,"Julian Araujo is a MEX football player who plays for Bournemouth as a defender (DF). Age: 22 Born: 2001. Attacking output: goals 0, assists 0, expected_goals 0.0, expected_assists 0.1, non_penalty_expected_goals 0.0, expected_goal_involvements 0.01. Progression: progressive_carries 4, progressive_passes 14, progressive_receptions 22. Usage: matches_played 12, starts 7, minutes_played 497, full_match_equivalents 5.5. Discipline: yellow_cards 2, red_cards 0."
