query_player,relevant_player,rank,top_1_player,top_5_players,query_text
Eduardo Santos,Eduardo Santos,1,Eduardo Santos,Eduardo Santos | Eduardo Sasha | Agustín Sant'Anna | Matheus Fernandes | Cleiton Schwengber,"Eduardo Santos is a BRA football player who plays for RB Bragantino as a defender, forward (DF,FW). Age: 27 Born: 1997. Attacking output: goals 0, assists 0, expected_goals 0.0, expected_assists 0.1, non_penalty_expected_goals 0.0, expected_goal_involvements 0.05. Progression: progressive_carries 2, progressive_passes 3, progressive_receptions 3. Usage: matches_played 5, starts 1, minutes_played 176, full_match_equivalents 2.0. Discipline: yellow_cards 0, red_cards 0."
Júnior Santos,Júnior Santos,1,Júnior Santos,Júnior Santos | Júnior Alonso | Vitor Hugo | Hulk | Claudio Falcão,"Júnior Santos is a BRA football player who plays for Atlético Mineiro as a forward, midfielder (FW,MF). Age: 30 Born: 1994. Attacking output: goals 2, assists 0, expected_goals 2.1, expected_assists 0.0, non_penalty_expected_goals 2.1, expected_goal_involvements 1.16. Progression: progressive_carries 7, progressive_passes 4, progressive_receptions 19. Usage: matches_played 8, starts 0, minutes_played 165, full_match_equivalents 1.8. Discipline: yellow_cards 1, red_cards 0."
Rodrigo Santos,Rodrigo Santos,1,Rodrigo Santos,Rodrigo Santos | Hyan | Magrão | C.J. dos Santos | Rodrigo Rodrigues,"Rodrigo Santos is a BRA football player who plays for Fortaleza as a forward (FW). Age: 24 Born: 2000. Attacking output: goals 0, assists 0, expected_goals 0.0, expected_assists 0.0, non_penalty_expected_goals 0.0, expected_goal_involvements 0.0. Progression: progressive_carries 0, progressive_passes 0, progressive_receptions 2. Usage: matches_played 1, starts 0, minutes_played 13, full_match_equivalents 0.1. Discipline: yellow_cards 0, red_cards 0."
Renzo Saravia,Renzo Saravia,1,Renzo Saravia,Renzo Saravia | Júnior Alonso | Vitor Hugo | Isaac | Lyanco,"Renzo Saravia is a ARG football player who plays for Atlético Mineiro as a defender (DF). Age: 32 Born: 1993. Attacking output: goals 0, assists 0, expected_goals 0.1, expected_assists 0.0, non_penalty_expected_goals 0.1, expected_goal_involvements 0.06. Progression: progressive_carries 4, progressive_passes 4, progressive_receptions 8. Usage: matches_played 6, starts 1, minutes_played 138, full_match_equivalents 1.5. Discipline: yellow_cards 0, red_cards 0."
Eduardo Sasha,Eduardo Sasha,1,Eduardo Sasha,Eduardo Sasha | Gabriel | Eduardo Santos | Jhonatan Jowjow | Fabiano Souza,"Eduardo Sasha is a BRA football player who plays for RB Bragantino as a forward, midfielder (FW,MF). Age: 33 Born: 1992. Attacking output: goals 3, assists 1, expected_goals 4.5, expected_assists 1.1, non_penalty_expected_goals 3.7, expected_goal_involvements 0.5. Progression: progressive_carries 14, progressive_passes 25, progressive_receptions 69. Usage: matches_played 14, starts 13, minutes_played 1014, full_match_equivalents 11.3. Discipline: yellow_cards 3, red_cards 0."
Lucas Sasha,Lucas Sasha,1,Lucas Sasha,Lucas Sasha | Samuel Xavier | Lucas Freitas | Facundo Altamira | Alex Teixeira,"Lucas Sasha is a BRA football player who plays for Fortaleza as a midfielder (MF). Age: 35 Born: 1990. Attacking output: goals 0, assists 0, expected_goals 0.3, expected_assists 0.3, non_penalty_expected_goals 0.3, expected_goal_involvements 0.07. Progression: progressive_carries 9, progressive_passes 30, progressive_receptions 23. Usage: matches_played 10, starts 10, minutes_played 809, full_match_equivalents 9.0. Discipline: yellow_cards 1, red_cards 0."
Jefferson Savarino,Jefferson Savarino,1,Jefferson Savarino,Jefferson Savarino | Alex Telles | Artur | Luiz Araújo | Juan Barbieri,"Jefferson Savarino is a VEN football player who plays for Botafogo (RJ) as a midfielder, forward (MF,FW). Age: 28 Born: 1996. Attacking output: goals 2, assists 1, expected_goals 1.2, expected_assists 1.5, non_penalty_expected_goals 1.2, expected_goal_involvements 0.34. Progression: progressive_carries 12, progressive_passes 40, progressive_receptions 44. Usage: matches_played 9, starts 9, minutes_played 721, full_match_equivalents 8.0. Discipline: yellow_cards 1, red_cards 0."
Gustavo Scarpa,Gustavo Scarpa,1,Gustavo Scarpa,Gustavo Scarpa | Hulk | Gabriel Menino | Igor Rabello | Rubens,"Gustavo Scarpa is a BRA football player who plays for Atlético Mineiro as a midfielder, forward (MF,FW). Age: 31 Born: 1994. Attacking output: goals 0, assists 1, expected_goals 1.1, expected_assists 2.5, non_penalty_expected_goals 1.1, expected_goal_involvements 0.32. Progression: progressive_carries 24, progressive_passes 79, progressive_receptions 46. Usage: matches_played 13, starts 12, minutes_played 1002, full_match_equivalents 11.1. Discipline: yellow_cards 2, red_cards 0."
João Schmidt,João Schmidt,1,João Schmidt,João Schmidt | João Paulo Mior | Gilberto | João Simões | João Pedro Chermont,"João Schmidt is a BRA football player who plays for Santos as a midfielder (MF). Age: 32 Born: 1993. Attacking output: goals 0, assists 0, expected_goals 0.4, expected_assists 0.2, non_penalty_expected_goals 0.4, expected_goal_involvements 0.08. Progression: progressive_carries 1, progressive_passes 47, progressive_receptions 4. Usage: matches_played 9, starts 7, minutes_played 619, full_match_equivalents 6.9. Discipline: yellow_cards 3, red_cards 0."
Cleiton Schwengber,Cleiton Schwengber,1,Cleiton Schwengber,Cleiton Schwengber | James Pantemis | Fábio | Wéverton | Éverson,"Cleiton Schwengber is a BRA football player who plays for RB Bragantino as a goalkeeper (GK). Age: 27 Born: 1997. Attacking output: goals 0, assists 0, expected_goals 0.0, expected_assists 0.0, non_penalty_expected_goals 0.0, expected_goal_involvements 0.0. Progression: progressive_carries 0, progressive_passes 0, progressive_receptions 0. Usage: matches_played 12, starts 12, minutes_played 1080, full_match_equivalents 12.0. Discipline: yellow_cards 2, red_cards 0."
Kevin Serna,Kevin Serna,1,Kevin Serna,Kevin Serna | Jhon Arias | Jayden Nelson | Maximiliano Salas | Jordan Morris,"Kevin Serna is a COL football player who plays for Fluminense as a forward (FW). Age: 27 Born: 1997. Attacking output: goals 3, assists 0, expected_goals 1.9, expected_assists 0.6, non_penalty_expected_goals 1.9, expected_goal_involvements 0.54. Progression: progressive_carries 21, progressive_passes 12, progressive_receptions 48. Usage: matches_played 10, starts 4, minutes_played 409, full_match_equivalents 4.5. Discipline: yellow_cards 0, red_cards 0."
Igor Serrote,Igor Serrote,1,Igor Serrote,Igor Serrote | Lucas Esteves | Camilo | Mathías Villasanti | Walter Kannemann,"Igor Serrote is a BRA football player who plays for Grêmio as a defender (DF). Age: 20 Born: 2005. Attacking output: goals 0, assists 0, expected_goals 0.1, expected_assists 0.1, non_penalty_expected_goals 0.1, expected_goal_involvements 0.03. Progression: progressive_carries 5, progressive_passes 19, progressive_receptions 12. Usage: matches_played 6, starts 5, minutes_played 422, full_match_equivalents 4.7. Discipline: yellow_cards 2, red_cards 0."
Juan Sforza,Juan Sforza,1,Juan Sforza,Juan Sforza | Paulinho | Mateus Cocão | David | Jean Meneses,"Juan Sforza is a ARG football player who plays for Vasco da Gama as a midfielder (MF). Age: 23 Born: 2002. Attacking output: goals 0, assists 0, expected_goals 0.0, expected_assists 0.0, non_penalty_expected_goals 0.0, expected_goal_involvements 0.02. Progression: progressive_carries 1, progressive_passes 4, progressive_receptions 0. Usage: matches_played 2, starts 1, minutes_played 71, full_match_equivalents 0.8. Discipline: yellow_cards 0, red_cards 0."
Aderlan Silva,Aderlan Silva,1,Aderlan Silva,Aderlan Silva | Aderlan Santos | Raoul Bellanova | Aderlan Santos | Igor Vinícius de Souza,"Aderlan Silva is a BRA football player who plays for Santos as a defender (DF). Age: 34 Born: 1990. Attacking output: goals 0, assists 0, expected_goals 0.0, expected_assists 0.1, non_penalty_expected_goals 0.0, expected_goal_involvements 0.11. Progression: progressive_carries 1, progressive_passes 6, progressive_receptions 2. Usage: matches_played 2, starts 1, minutes_played 87, full_match_equivalents 1.0. Discipline: yellow_cards 0, red_cards 0."
André Silva,André Silva,1,André Silva,André Silva | Toni Martínez | Rony | Gianluca Gaetano | Ferreira,"André Silva is a BRA football player who plays for São Paulo as a forward (FW). Age: 28 Born: 1997. Attacking output: goals 5, assists 2, expected_goals 3.6, expected_assists 2.2, non_penalty_expected_goals 2.8, expected_goal_involvements 0.52. Progression: progressive_carries 9, progressive_passes 13, progressive_receptions 47. Usage: matches_played 14, starts 11, minutes_played 1009, full_match_equivalents 11.2. Discipline: yellow_cards 4, red_cards 0."
Guilherme Silva,Guilherme Silva,1,Guilherme Silva,Guilherme Silva | Dieguinho | Luis Otávio | Riquelme | Alouis Diriken,"Guilherme Silva is a BRA football player who plays for Corinthians as a forward (FW). Age: 18 Born: 2007. Attacking output: goals 0, assists 0, expected_goals 0.0, expected_assists 0.0, non_penalty_expected_goals 0.0, expected_goal_involvements 0.0. Progression: progressive_carries 2, progressive_passes 5, progressive_receptions 8. Usage: matches_played 4, starts 1, minutes_played 147, full_match_equivalents 1.6. Discipline: yellow_cards 2, red_cards 0."
João Silva,João Silva,1,João Silva,João Silva | Manuel Osifo | Thiago Silva | Matheus Alexandre | João Moutinho,"João Silva is a POR football player who plays for Sport Recife as a defender (DF). Age: 26 Born: 1999. Attacking output: goals 0, assists 0, expected_goals 0.1, expected_assists 0.5, non_penalty_expected_goals 0.1, expected_goal_involvements 0.08. Progression: progressive_carries 4, progressive_passes 37, progressive_receptions 0. Usage: matches_played 8, starts 8, minutes_played 720, full_match_equivalents 8.0. Discipline: yellow_cards 1, red_cards 0."
Lucas Silva,Lucas Silva,1,Lucas Silva,Lucas Silva | Felipe Anderson | Brían Sánchez | Ramiro Carrera | Franco Fragapane,"Lucas Silva is a BRA football player who plays for Cruzeiro as a midfielder (MF). Age: 32 Born: 1993. Attacking output: goals 1, assists 2, expected_goals 0.5, expected_assists 1.0, non_penalty_expected_goals 0.5, expected_goal_involvements 0.13. Progression: progressive_carries 15, progressive_passes 61, progressive_receptions 5. Usage: matches_played 13, starts 12, minutes_played 1065, full_match_equivalents 11.8. Discipline: yellow_cards 2, red_cards 0."
Matheus Pereira da Silva,Matheus Pereira da Silva,1,Matheus Pereira da Silva,Matheus Pereira da Silva | Matheus Henrique | Matheus Fernandes | Sofyan Amrabat | Clever Ferreira,"Matheus Pereira da Silva is a BRA football player who plays for Fortaleza as a midfielder (MF). Age: 27 Born: 1998. Attacking output: goals 0, assists 0, expected_goals 0.1, expected_assists 0.0, non_penalty_expected_goals 0.1, expected_goal_involvements 0.05. Progression: progressive_carries 2, progressive_passes 12, progressive_receptions 1. Usage: matches_played 2, starts 2, minutes_played 180, full_match_equivalents 2.0. Discipline: yellow_cards 1, red_cards 0."
Patrick Silva,Patrick Silva,1,Patrick Silva,Patrick Silva | Rômulo | Isaac | Alan Franco | Dudu,"Patrick Silva is a BRA football player who plays for Atlético Mineiro as a midfielder (MF). Age: 21 Born: 2004. Attacking output: goals 0, assists 0, expected_goals 0.0, expected_assists 0.0, non_penalty_expected_goals 0.0, expected_goal_involvements 0.01. Progression: progressive_carries 4, progressive_passes 5, progressive_receptions 3. Usage: matches_played 3, starts 2, minutes_played 224, full_match_equivalents 2.5. Discipline: yellow_cards 0, red_cards 0."
Thiago Silva,Thiago Silva,1,Thiago Silva,Thiago Silva | João Silva | Nathan Byrne | Manuel Osifo | Jhonatan,"Thiago Silva is a BRA football player who plays for Fluminense as a defender (DF). Age: 40 Born: 1984. Attacking output: goals 0, assists 0, expected_goals 0.4, expected_assists 0.1, non_penalty_expected_goals 0.4, expected_goal_involvements 0.06. Progression: progressive_carries 3, progressive_passes 36, progressive_receptions 1. Usage: matches_played 8, starts 8, minutes_played 720, full_match_equivalents 8.0. Discipline: yellow_cards 0, red_cards 0."
Cédric Soares,Cédric Soares,1,Cédric Soares,Cédric Soares | Robert Arboleda | Wendell | Cédric Bakambu | Oscar,"Cédric Soares is a POR football player who plays for São Paulo as a defender, forward (DF,FW). Age: 33 Born: 1991. Attacking output: goals 0, assists 1, expected_goals 0.1, expected_assists 0.6, non_penalty_expected_goals 0.1, expected_goal_involvements 0.07. Progression: progressive_carries 9, progressive_passes 26, progressive_receptions 46. Usage: matches_played 13, starts 10, minutes_played 903, full_match_equivalents 10.0. Discipline: yellow_cards 1, red_cards 0."
Everton Soares,Everton Soares,1,Everton Soares,Everton Soares | Lima | Everton Ribeiro | Gonzalo Plata | Jared Stroud,"Everton Soares is a BRA football player who plays for Flamengo as a forward, midfielder (FW,MF). Age: 29 Born: 1996. Attacking output: goals 1, assists 1, expected_goals 1.7, expected_assists 0.5, non_penalty_expected_goals 1.7, expected_goal_involvements 0.37. Progression: progressive_carries 23, progressive_passes 19, progressive_receptions 68. Usage: matches_played 13, starts 6, minutes_played 536, full_match_equivalents 6.0. Discipline: yellow_cards 0, red_cards 0."
Tiquinho Soares,Tiquinho Soares,1,Tiquinho Soares,Tiquinho Soares | Alan Patrick | Gabriel | Dermane Karim | Juma Bah,"Tiquinho Soares is a BRA football player who plays for Santos as a forward (FW). Age: 34 Born: 1991. Attacking output: goals 1, assists 2, expected_goals 1.7, expected_assists 0.5, non_penalty_expected_goals 0.9, expected_goal_involvements 0.3. Progression: progressive_carries 3, progressive_passes 9, progressive_receptions 21. Usage: matches_played 11, starts 9, minutes_played 686, full_match_equivalents 7.6. Discipline: yellow_cards 2, red_cards 0."
Fernando Sobral,Fernando Sobral,1,Fernando Sobral,Fernando Sobral | Jonatan Lucca | Isaiah Parente | Maximilian Bauer | Paulo Díaz,"Fernando Sobral is a BRA football player who plays for Ceará as a midfielder (MF). Age: 30 Born: 1994. Attacking output: goals 0, assists 0, expected_goals 0.2, expected_assists 0.2, non_penalty_expected_goals 0.2, expected_goal_involvements 0.04. Progression: progressive_carries 4, progressive_passes 42, progressive_receptions 8. Usage: matches_played 12, starts 11, minutes_played 894, full_match_equivalents 9.9. Discipline: yellow_cards 4, red_cards 0."
Ramón Sosa,Ramón Sosa,1,Ramón Sosa,Ramón Sosa | Ramón Sosa | Luciano Ramón Herrera | Thalys | Damián Pizarro,"Ramón Sosa is a PAR football player who plays for Palmeiras as a forward (FW). Age: 25 Born: 1999. Attacking output: goals 0, assists 0, expected_goals 0.0, expected_assists 0.0, non_penalty_expected_goals 0.0, expected_goal_involvements 0.0. Progression: progressive_carries 1, progressive_passes 2, progressive_receptions 2. Usage: matches_played 1, starts 0, minutes_played 16, full_match_equivalents 0.2. Discipline: yellow_cards 0, red_cards 0."
Yeferson Soteldo,Yeferson Soteldo,1,Yeferson Soteldo,Yeferson Soteldo | Yeferson Soteldo | Silvère Ganvoula M'Boussy | Yangel Herrera | Norberto Briasco,"Yeferson Soteldo is a VEN football player who plays for Santos as a forward, midfielder (FW,MF). Age: 28 Born: 1997. Attacking output: goals 0, assists 0, expected_goals 0.2, expected_assists 0.4, non_penalty_expected_goals 0.2, expected_goal_involvements 0.16. Progression: progressive_carries 31, progressive_passes 17, progressive_receptions 41. Usage: matches_played 5, starts 3, minutes_played 326, full_match_equivalents 3.6. Discipline: yellow_cards 1, red_cards 0."
Yeferson Soteldo,Yeferson Soteldo,1,Yeferson Soteldo,Yeferson Soteldo | Yeferson Soteldo | Christopher Operi | Giovanni Cantizano | Rodrigo Abajas,"Yeferson Soteldo is a VEN football player who plays for Fluminense as a forward (FW). Age: 28 Born: 1997. Attacking output: goals 0, assists 0, expected_goals 0.1, expected_assists 0.0, non_penalty_expected_goals 0.1, expected_goal_involvements 0.19. Progression: progressive_carries 10, progressive_passes 2, progressive_receptions 17. Usage: matches_played 1, starts 1, minutes_played 65, full_match_equivalents 0.7. Discipline: yellow_cards 0, red_cards 0."
Souza,Souza,1,Souza,Souza | Harry Clarke | Igor Vinícius de Souza | Fabio Chiarodia | Diego Pituca,"Souza is a BRA football player who plays for Santos as a defender (DF). Age: 19 Born: 2006. Attacking output: goals 0, assists 1, expected_goals 0.0, expected_assists 0.3, non_penalty_expected_goals 0.0, expected_goal_involvements 0.08. Progression: progressive_carries 10, progressive_passes 7, progressive_receptions 14. Usage: matches_played 5, starts 5, minutes_played 379, full_match_equivalents 4.2. Discipline: yellow_cards 0, red_cards 0."
Fabiano Souza,Fabiano Souza,1,Fabiano Souza,Fabiano Souza | Fabiano Souza | Juan Freytes | Igor Serrote | Matheus Alexandre,"Fabiano Souza is a BRA football player who plays for Ceará as a defender (DF). Age: 25 Born: 2000. Attacking output: goals 0, assists 1, expected_goals 0.1, expected_assists 0.1, non_penalty_expected_goals 0.1, expected_goal_involvements 0.02. Progression: progressive_carries 13, progressive_passes 37, progressive_receptions 19. Usage: matches_played 12, starts 12, minutes_played 1014, full_match_equivalents 11.3. Discipline: yellow_cards 5, red_cards 0."
Gabriel Souza,Gabriel Souza,1,Gabriel Souza,Gabriel Souza | David | Mateus Cocão | Adson | Jair,"Gabriel Souza is a BRA football player who plays for Vasco da Gama as a forward (FW). Age: 20 Born: 2005. Attacking output: goals 0, assists 0, expected_goals 0.2, expected_assists 0.0, non_penalty_expected_goals 0.2, expected_goal_involvements 2.33. Progression: progressive_carries 0, progressive_passes 1, progressive_receptions 1. Usage: matches_played 1, starts 0, minutes_played 8, full_match_equivalents 0.1. Discipline: yellow_cards 0, red_cards 0."
Hugo Souza,Hugo Souza,1,Hugo Souza,Hugo Souza | Jakub Stolarczyk | Andrew Rick | Caoimhín Kelleher | Koen Van Langendonck,"Hugo Souza is a BRA football player who plays for Corinthians as a goalkeeper (GK). Age: 26 Born: 1999. Attacking output: goals 0, assists 0, expected_goals 0.0, expected_assists 0.0, non_penalty_expected_goals 0.0, expected_goal_involvements 0.0. Progression: progressive_carries 0, progressive_passes 0, progressive_receptions 0. Usage: matches_played 10, starts 10, minutes_played 900, full_match_equivalents 10.0. Discipline: yellow_cards 1, red_cards 0."
Igor Vinícius de Souza,Igor Vinícius de Souza,1,Igor Vinícius de Souza,Igor Vinícius de Souza | Igor Vinícius de Souza | Gabriel Airton de Souza | José Sabino | Ryan Francisco,"Igor Vinícius de Souza is a BRA football player who plays for São Paulo as a defender (DF). Age: 28 Born: 1997. Attacking output: goals 0, assists 0, expected_goals 0.2, expected_assists 0.1, non_penalty_expected_goals 0.2, expected_goal_involvements 0.15. Progression: progressive_carries 1, progressive_passes 8, progressive_receptions 18. Usage: matches_played 3, starts 2, minutes_played 164, full_match_equivalents 1.8. Discipline: yellow_cards 1, red_cards 0."
Igor Vinícius de Souza,Igor Vinícius de Souza,1,Igor Vinícius de Souza,Igor Vinícius de Souza | Igor Vinícius de Souza | Souza | João Othavio Basso | Carlos Vinícius,"Igor Vinícius de Souza is a BRA football player who plays for Santos as a defender (DF). Age: 28 Born: 1997. Attacking output: goals 0, assists 0, expected_goals 0.0, expected_assists 0.0, non_penalty_expected_goals 0.0, expected_goal_involvements 0.0. Progression: progressive_carries 5, progressive_passes 1, progressive_receptions 1. Usage: matches_played 1, starts 1, minutes_played 90, full_match_equivalents 1.0. Discipline: yellow_cards 0, red_cards 0."
Everaldo Stum,Everaldo Stum,1,Everaldo Stum,Everaldo Stum | Braian Romero | Geoffry Hairemans | Michael | Gabriel Bontempo,"Everaldo Stum is a BRA football player who plays for Fluminense as a forward (FW). Age: 34 Born: 1991. Attacking output: goals 1, assists 0, expected_goals 1.1, expected_assists 1.1, non_penalty_expected_goals 1.1, expected_goal_involvements 0.41. Progression: progressive_carries 3, progressive_passes 6, progressive_receptions 29. Usage: matches_played 12, starts 5, minutes_played 502, full_match_equivalents 5.6. Discipline: yellow_cards 1, red_cards 0."
Bruno Tabata,Bruno Tabata,1,Bruno Tabata,Bruno Tabata | Thiago Maia | Max Moerstedt | Bruno Henrique | Célio Pompeu,"Bruno Tabata is a BRA football player who plays for Internacional as a forward, midfielder (FW,MF). Age: 28 Born: 1997. Attacking output: goals 1, assists 0, expected_goals 0.6, expected_assists 1.0, non_penalty_expected_goals 0.6, expected_goal_involvements 0.32. Progression: progressive_carries 23, progressive_passes 25, progressive_receptions 54. Usage: matches_played 10, starts 5, minutes_played 451, full_match_equivalents 5.0. Discipline: yellow_cards 2, red_cards 0."
Gabriel Taliari,Gabriel Taliari,1,Gabriel Taliari,Gabriel Taliari | Jailson Siqueira | Gabriel Magalhães | Giovanny | Jonás Acevedo,"Gabriel Taliari is a BRA football player who plays for Juventude as a forward, midfielder (FW,MF). Age: 28 Born: 1997. Attacking output: goals 2, assists 2, expected_goals 0.9, expected_assists 0.7, non_penalty_expected_goals 0.9, expected_goal_involvements 0.24. Progression: progressive_carries 7, progressive_passes 10, progressive_receptions 21. Usage: matches_played 10, starts 8, minutes_played 614, full_match_equivalents 6.8. Discipline: yellow_cards 0, red_cards 0."
Gonzalo Tapia,Gonzalo Tapia,1,Gonzalo Tapia,Gonzalo Tapia | Gonzalo Tapia | Lucca Marques | Jonathan Calleri | Cédric Soares,"Gonzalo Tapia is a CHI football player who plays for São Paulo as a forward (FW). Age: 23 Born: 2002. Attacking output: goals 0, assists 0, expected_goals 0.1, expected_assists 0.0, non_penalty_expected_goals 0.1, expected_goal_involvements 0.71. Progression: progressive_carries 1, progressive_passes 0, progressive_receptions 1. Usage: matches_played 1, starts 0, minutes_played 12, full_match_equivalents 0.1. Discipline: yellow_cards 1, red_cards 0."
Tchê Tchê,Tchê Tchê,1,Tchê Tchê,Tchê Tchê | Jair | Mateus Cocão | Philippe Coutinho | Adson,"Tchê Tchê is a BRA football player who plays for Vasco da Gama as a midfielder (MF). Age: 32 Born: 1992. Attacking output: goals 0, assists 0, expected_goals 0.2, expected_assists 0.3, non_penalty_expected_goals 0.2, expected_goal_involvements 0.06. Progression: progressive_carries 12, progressive_passes 51, progressive_receptions 18. Usage: matches_played 11, starts 9, minutes_played 767, full_match_equivalents 8.5. Discipline: yellow_cards 0, red_cards 0."
Alex Teixeira,Alex Teixeira,1,Alex Teixeira,Alex Teixeira | David | Lucas Freitas | Lukas Zuccarello | Tchê Tchê,"Alex Teixeira is a BRA football player who plays for Vasco da Gama as a midfielder, forward (MF,FW). Age: 35 Born: 1990. Attacking output: goals 0, assists 0, expected_goals 0.3, expected_assists 0.0, non_penalty_expected_goals 0.3, expected_goal_involvements 0.26. Progression: progressive_carries 2, progressive_passes 0, progressive_receptions 6. Usage: matches_played 9, starts 0, minutes_played 118, full_match_equivalents 1.3. Discipline: yellow_cards 1, red_cards 0."
Alex Telles,Alex Telles,1,Alex Telles,Alex Telles | Jefferson Savarino | Dominique Badji | Danilo Barbosa | Kaio Pantaleão,"Alex Telles is a BRA football player who plays for Botafogo (RJ) as a defender (DF). Age: 32 Born: 1992. Attacking output: goals 2, assists 0, expected_goals 1.2, expected_assists 1.2, non_penalty_expected_goals 0.4, expected_goal_involvements 0.3. Progression: progressive_carries 9, progressive_passes 29, progressive_receptions 29. Usage: matches_played 12, starts 8, minutes_played 706, full_match_equivalents 7.8. Discipline: yellow_cards 1, red_cards 0."
Thaciano,Thaciano,1,Thaciano,Thaciano | Jonas Hofmann | Neymar | Yacine Adli | Lucas Sanabria,"Thaciano is a BRA football player who plays for Santos as a forward, midfielder (FW,MF). Age: 30 Born: 1995. Attacking output: goals 1, assists 0, expected_goals 1.0, expected_assists 0.0, non_penalty_expected_goals 1.0, expected_goal_involvements 0.25. Progression: progressive_carries 3, progressive_passes 6, progressive_receptions 18. Usage: matches_played 11, starts 3, minutes_played 356, full_match_equivalents 4.0. Discipline: yellow_cards 0, red_cards 0."
Thalys,Thalys,1,Thalys,Thalys | Ramón Sosa | Viery | José Vitor Silva Neves | Diego Porcel,"Thalys is a BRA football player who plays for Palmeiras as a forward (FW). Age: 20 Born: 2005. Attacking output: goals 0, assists 0, expected_goals 0.0, expected_assists 0.0, non_penalty_expected_goals 0.0, expected_goal_involvements 0.0. Progression: progressive_carries 0, progressive_passes 0, progressive_receptions 1. Usage: matches_played 1, starts 0, minutes_played 25, full_match_equivalents 0.3. Discipline: yellow_cards 0, red_cards 0."
Rafael Thyere,Rafael Thyere,1,Rafael Thyere,Rafael Thyere | Gabriel | Victor Luis | Antonio Carlos | Pedro Borges,"Rafael Thyere is a BRA football player who plays for Sport Recife as a defender (DF). Age: 32 Born: 1993. Attacking output: goals 0, assists 0, expected_goals 0.1, expected_assists 0.0, non_penalty_expected_goals 0.1, expected_goal_involvements 0.15. Progression: progressive_carries 1, progressive_passes 6, progressive_receptions 1. Usage: matches_played 1, starts 1, minutes_played 90, full_match_equivalents 1.0. Discipline: yellow_cards 0, red_cards 0."
Tiago,Tiago,1,Tiago,Tiago | Silvio Romero | Jeremy Monga | Nicolás Serrano | Matías Rojas,"Tiago is a BRA football player who plays for Bahia as a forward, midfielder (FW,MF). Age: 20 Born: 2005. Attacking output: goals 0, assists 1, expected_goals 0.0, expected_assists 0.2, non_penalty_expected_goals 0.0, expected_goal_involvements 0.14. Progression: progressive_carries 2, progressive_passes 1, progressive_receptions 9. Usage: matches_played 4, starts 0, minutes_played 112, full_match_equivalents 1.2. Discipline: yellow_cards 0, red_cards 0."
Guilherme Tinga,Guilherme Tinga,1,Guilherme Tinga,Guilherme Tinga | Guilherme Schettine | José Welison | Rodrigo Gallo | Jérôme Roussillon,"Guilherme Tinga is a BRA football player who plays for Fortaleza as a defender (DF). Age: 31 Born: 1993. Attacking output: goals 1, assists 0, expected_goals 0.2, expected_assists 0.1, non_penalty_expected_goals 0.2, expected_goal_involvements 0.06. Progression: progressive_carries 7, progressive_passes 19, progressive_receptions 11. Usage: matches_played 6, starts 5, minutes_played 446, full_match_equivalents 5.0. Discipline: yellow_cards 1, red_cards 0."
Titi,Titi,1,Titi,Titi | Bruno Pacheco | Pedro Borges | Renato Augusto | Antonio Carlos,"Titi is a BRA football player who plays for Fortaleza as a defender (DF). Age: 37 Born: 1988. Attacking output: goals 0, assists 0, expected_goals 0.0, expected_assists 0.0, non_penalty_expected_goals 0.0, expected_goal_involvements 0.0. Progression: progressive_carries 0, progressive_passes 1, progressive_receptions 0. Usage: matches_played 3, starts 3, minutes_played 269, full_match_equivalents 3.0. Discipline: yellow_cards 2, red_cards 1."
Félix Torres Caicedo,Félix Torres Caicedo,1,Félix Torres Caicedo,Félix Torres Caicedo | Roberto Férnandez | André Ramalho | Marcos Paulo | Moisés Caicedo,"Félix Torres Caicedo is a ECU football player who plays for Corinthians as a defender (DF). Age: 28 Born: 1997. Attacking output: goals 0, assists 0, expected_goals 0.2, expected_assists 0.1, non_penalty_expected_goals 0.2, expected_goal_involvements 0.04. Progression: progressive_carries 2, progressive_passes 13, progressive_receptions 2. Usage: matches_played 7, starts 6, minutes_played 505, full_match_equivalents 5.6. Discipline: yellow_cards 1, red_cards 0."
Facundo Torres,Facundo Torres,1,Facundo Torres,Facundo Torres | Tomás Cuello | Luciano Rodríguez | Budu Zivzivadze | Andrés Perea,"Facundo Torres is a URU football player who plays for Palmeiras as a midfielder, forward (MF,FW). Age: 25 Born: 2000. Attacking output: goals 3, assists 1, expected_goals 1.7, expected_assists 1.1, non_penalty_expected_goals 1.7, expected_goal_involvements 0.36. Progression: progressive_carries 12, progressive_passes 36, progressive_receptions 43. Usage: matches_played 10, starts 10, minutes_played 708, full_match_equivalents 7.9. Discipline: yellow_cards 1, red_cards 0."
Bruno Tubarão,Bruno Tubarão,1,Bruno Tubarão,Bruno Tubarão | Manu Bueno | Yago | João Victor | Fernandinho,"Bruno Tubarão is a BRA football player who plays for Ceará as a forward, midfielder (FW,MF). Age: 30 Born: 1995. Attacking output: goals 0, assists 0, expected_goals 0.1, expected_assists 0.0, non_penalty_expected_goals 0.1, expected_goal_involvements 0.08. Progression: progressive_carries 5, progressive_passes 4, progressive_receptions 9. Usage: matches_played 5, starts 0, minutes_played 64, full_match_equivalents 0.7. Discipline: yellow_cards 0, red_cards 0."
