Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
241,George Hirst,SCO,FW,Ipswich Town,25,1999,26,5,661,7.3,3,1,4,3,0,0,3,0,2.1,2.1,0.3,2.5,9,13,31,0.41,0.14,0.54,0.41,0.54,0.29,0.05,0.34,0.29,0.34
242,Mason Holgate,JAM,"FW,DF",Everton,27,1996,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,Harry Howell,ENG,FW,Brighton,15,2008,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,Callum Hudson-Odoi,ENG,"FW,MF",Nott'ham Forest,23,2000,31,25,2194,24.4,5,2,7,5,0,0,2,0,2.5,2.5,2.7,5.2,130,71,189,0.21,0.08,0.29,0.21,0.29,0.1,0.11,0.21,0.1,0.21
245,Will Hughes,ENG,MF,Crystal Palace,29,1995,33,24,2108,23.4,0,3,3,0,0,0,11,0,1.1,1.1,3.1,4.2,20,87,27,0.0,0.13,0.13,0.0,0.13,0.05,0.13,0.18,0.05,0.18
246,Dean Huijsen,ESP,DF,Bournemouth,19,2005,32,26,2427,27.0,3,2,5,3,0,0,10,0,1.9,1.9,2.0,3.9,41,132,10,0.11,0.07,0.19,0.11,0.19,0.07,0.08,0.14,0.07,0.14
247,Omari Hutchinson,ENG,"MF,FW",Ipswich Town,20,2003,31,30,2583,28.7,3,2,5,3,0,0,5,0,2.9,2.9,3.5,6.4,97,75,159,0.1,0.07,0.17,0.1,0.17,0.1,0.12,0.22,0.1,0.22
248,Rasmus Højlund,DEN,FW,Manchester Utd,21,2003,32,23,2004,22.3,4,0,4,4,0,0,2,0,5.3,5.3,1.8,7.1,28,18,101,0.18,0.0,0.18,0.18,0.18,0.24,0.08,0.32,0.24,0.32
249,Igor,BRA,DF,Brighton,26,1998,13,10,961,10.7,0,0,0,0,0,0,4,0,0.0,0.0,0.2,0.2,9,49,1,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
250,Danny Ings,ENG,"FW,MF",West Ham,32,1992,15,1,284,3.2,1,2,3,1,0,0,0,0,2.3,2.3,1.3,3.5,6,5,29,0.32,0.63,0.95,0.32,0.95,0.72,0.41,1.12,0.72,1.12
251,Tim Iroegbunam,ENG,MF,Everton,21,2003,18,5,574,6.4,0,1,1,0,0,0,4,0,0.2,0.2,0.2,0.4,8,15,9,0.0,0.16,0.16,0.0,0.16,0.04,0.03,0.07,0.04,0.07
252,Andy Irving,SCO,MF,West Ham,24,2000,10,1,166,1.8,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.4,0,9,4,0.0,0.0,0.0,0.0,0.0,0.06,0.13,0.19,0.06,0.19
253,Alexander Isak,SWE,FW,Newcastle Utd,24,1999,34,34,2756,30.6,23,6,29,19,4,4,1,0,20.3,17.2,4.3,21.6,83,88,217,0.75,0.2,0.95,0.62,0.82,0.66,0.14,0.81,0.56,0.7
254,Alex Iwobi,NGA,"FW,MF",Fulham,28,1996,38,35,2981,33.1,9,6,15,9,0,0,1,0,4.7,4.7,7.0,11.8,144,213,246,0.27,0.18,0.45,0.27,0.45,0.14,0.21,0.36,0.14,0.36
